"Star_Rating","User","Title","Body","Date"
"4.0 out of 5 stars","Texadian","Probably won't recommend if you have young kids","Works great but probably won't recommend if you have kids.They'll figure out how to use it really quick and will drive you nuts with it. ""Alexa"" this and ""Alexa"" that, they'll be asking all the time, constantly. Fortunately the Dot is not rechargable, so just unplug it when not in use, and it won't do anything, or hit the mute button, where it wont hear anyone's voice do any commands. These two things can prevent the kids from using it.","December 27, 2016"
"5.0 out of 5 stars","T.M White","I love my Dot","I really love the Echo Dot.  I made the purchase after my daughter got the Echo for Christmas. The set up was really easy. Connecting it to my Bose Bluetooth speaker was really easy and perfect. I have my Echo Dot sitting on top of my bed post and when I provide a command it replys.  I really like my Dot, and love that I can provide a command to play a certain playlist and it will play.","January 16, 2017"
"1.0 out of 5 stars","McCormick","Excellent Paperweight","Update from original post.  The Echo was working worse this morning.  I had to repeat commands several times to be understood.  After being away all day I came home and told the Echo to play a song and it didn't make a sound.  The light flashed on, then off again.  I rebooted it twice and had the same issue.  I am returning this product tomorrow and am no longer interested in the Echo.  I'm going to try Google's version of this product and see if I have better luck with them.That was two weeks of mild entertainment.Original post below:This product is very limited on its capabilities and has difficulty understanding base commands.  It also struggles to find the appropriate song on a consistent basis.  Sometimes the product responds with inappropriate comments.  It is highly frustrating and I find it more convenient to use my cell phone to look up information or listen to music.  I regret being an early adopter of this product and find very little use for it other than setting alarms for cooking or as a paperweight.I love Amazon and am a Prime member, but in my opinion they have far from excelled with this technology.","March 5, 2017"
"5.0 out of 5 stars","Spike","I paired it with a Wemo outlet switch to control our family room Christmas decorations works like a champ","Can say it makes controlling things very simple. I paired it with a Wemo outlet switch to control our family room Christmas decorations works like a champ. I also paired it with a bluetooth speaker quite easily. Now all I have to do when I want to use the speaker is say alexa connect my speaker and its paired. Yes without the bluetooth speaker this thing sounds tinny but that is to be expected since its so small. Had it for a few days now and haven't found any flaws.","December 23, 2016"
"5.0 out of 5 stars","Courtney","but so far it is still cool even as just a voice controlled radio","Just bought for Christmas. One for the main room and one for our bedroom. We are still getting use to getting everything to work on it, but so far it is still cool even as just a voice controlled radio. The one in the main room we use for music, timers, weather, and the one in the bedroom we use for waking us up, playing rain music while we sleep etc. Can't wait to use Uber on it and link it to our smart switches and smart thermostat. Can't beat the price for this hub. Prefer the echo dot over the larger one since most people would prefer listening to music through their sound system anyways.I like how you can turn the volume down and up, but I wish they made it easier than saying ""ALEXA LOUDER"" and ""ALEXA QUIETER"" it usually takes me a few ""ALEXAS"" to get the volume the way I want it. Maybe there is an easier way I just haven't found out yet.Also wish ALEXA had the capability to turn off an on my bluetooth speaker. Seems like our speaker has to always be on in order for ALEXA to use it. If there is a way to turn it off and on with voice control someone please let me know.I am sure that ALEXA will only get more awesome as updates occur, but it still deserved 5 stars even with the little kinks it has. Really hope Amazon makes a cheaper alternative than the harmony hub to be able to voice activate the TV. Fire stick you can only use the remote voice activation. I want to be able to turn on my TV and change my direct TV channels using ALEXA, but hopefully this will happen soon.This is a review after only playing around with it for a day or two. I will try and post a more comprehensive one once we install all of our smart home features and use it for a month or so.","December 27, 2016"
"5.0 out of 5 stars","Jessica S Baker","works great with Wink app and plugs into surround sound","got this for christmas. its not great if you dont have any home automation you can use with it. otherwise, your phone wiht google now can tell you the weather and whats on your calendar.i LOVE it because i have all my lights automated on my Wink app and it works. ""Alexa turn on my kitchen lights"" and bam.. it happens! now i dont hvae to get to my phone and press my shortcuts. i can be coming in the house wiht all hte groceries and ""alexa turn on morning mode"" and my path to the kitchen i all lit up! i also have ""move mode"" that i set up in the Wink app wiht my GE Link bulbs and they dim in the living room while shutting off all my other lights. AWESOME.the only sad thing is that due to security issues they will not let alexa communicate to the garage door opener or the door locks that are automated. i have an ""away mode"" that turns off my lights and opens the garage door when i am leaving - but alexa cannot do this since it has the garage door attached.also, it has a headphone jack on the back so i set this in the living room next to the surround sound and plugged it in the aux port and we leave the speaker on all the time. now we say ""play spotify"" and it will play on the surround sound. she also works wiht bluetooth speakers but we dont have a wall powered bluetooth yet.its also nice that it works wiht my shared grocery list OurGrocereis app so we can add items easily when we are making dinner etc.i dont see why people need a ton in their house.with my open floorplan and 1700 sf, we only need one. we yell down the hallway when going to bed ""alexa, all off!"" and all the lights go out haha. well maybe we mgiht want one in the master bedroom....:-)","January 12, 2017"
"5.0 out of 5 stars","Andrew V","Life changing gadget","Awesome gadget. The Dot is one of those things that you wouldn't ever NEED, but once you have it you question how you ever got by without it.The Good:1. Great for DJing, entertaining, or for your audiobooks...provided you pay extra for the various services needed to make those functions work well.2. Myriad of organizational features are super handy, especially since I work from home. To do list and calendar sync are useful, I am much less likely to forget to set an appointment when I can just shout at Alexa to make it for me. Weather, currency/distance/time zone converting saves me a lot of random googling.3. Surprisingly good at picking up commands from long distances despite background noise. Can hear and acknowledge commands even when I yell from in the shower.4. Easy integration with new devices, I didn't have any trouble setting several bluetooth speakers up as well as a LIFX bulb. Setting up the LIFX bulb was a pain, but Alexa found it immediately.5. The Dot is one of those devices that makes you think ""the future is now.""The Bad:1. To really get your money's worth out of it, you pretty much need a music service or audible subscription.2. You have to be very precise with your commands, Alexa isn't that great at decoding some requests. In the end, it's not a big deal, Alexa kind of ""trains"" you.3. No built in battery4. The Dot is so useful that I now angrily lament that more devices aren't voice activated.The Ugly:1. It's small and innocuous, no major complaints about the design or look.2. The volume ring is not really persistently useful as it only appears when you're adjusting the volume. Pretty much means you have to remember where you left the volume.3. I can't change the wake word to ""Computer"" to fully realize my dream of being on the Star Trek Enterprise","December 13, 2016"
"5.0 out of 5 stars","AHJ42","I like it 👌","Great fun but effective.  I have thoroughly enjoyed the last fortnight, first with one, then two, and now four echo dots.The first communicates with my sonos connect, and allows me, via the sonos app to ask for playlists and music in any zone. It will be nice when sonos and Amazon get their act together and allow me to ask for music in any zone without using the app, or delving into what is now years old programming in order to ask sonos to play any playlist, album or song.Alexa talks to my hive system, and not only boosts my heating, but allows me to control and dim lights in several zones, and even switch off one of the two lights in my bedroom on the same switch, which shines in my eyes when I am reading in bed.I am now putting a Logitech hub in place to control various electrical outlets.The second dot is connected to a pair of speakers in my bedroom, but still allows me to control heat and lights.The third echo is connected to my portable foxl speakers, and allows me to stream music in any internet accessible location, including friends and family's houses, and hotels. I can't wait to show this portable system off to my friends at our next reunion. Is there a link to allow friends purchases to allow discounts on my digital purchases?The last dot is attached to the sound system at my girlfriend's place, which not only allows me to listen to my prime music at her place, but also can change the crappy music she plays to something sensible even When I am miles away😇I have yet to explain to her how to turn my heating or lighting in at my home, but I can do this from a distance, to annoy or distract unwanted visitors 😂In summary, a bit clunky, but full of potential","January 20, 2017"
"5.0 out of 5 stars","DrunkTown","First Week Review | Making your home Smarter","Black Friday came and went. Like me, you may have decided to hold off on the retail kayos opting to spend your day browsing Amazon instead of suffering through the large crowds. One of the gadgets that caught my eye was the Amazon Echo dot. It is basically a scaled down version of the larger wireless Amazon Echo. It was on sale for only $40, so I decided to give it a try. By Monday morning it had arrived.First things first, one of my favorite movies growing up was Smart House. I'm a huge fan of Home Automation and the smart home life. I had seen the Echo before, but not being a huge fan of Siri I figured it was just more of the same. That being said this thing is pretty darn cool.Getting Started:The Echo dot is extremely easy to setup. You download the Alexa app (Alexa is the echo dot interface, like Siri) pair it with your WiFi and you are up and running. It took about 5 minutes. The dot wakes when you say Alexa. You can then ask it basic questions about the weather, or give commands like ""turn on the lights"" if you have existing smart technologies. Through the back-end you can make Alexa smarter by enabling specific skills.Favorite ThingsGames: My wife and I love playing Jeopardy. The dot has a built in game that asks six questions updated daily. They are related to actual game categories that aired that day, but entirely different questions.Smart Accessories: If you purchase a smart switch, you can enable the dot to turn on and off your lights with a simple command. Since it is daylight savings time this is pretty awesome.Audio Playback: Audible books, music library, podcasts, ect are a simple command away from playback. Really useful.Making the home smarter is the trend this holiday season and it is only going to become more advanced in the near future. The echo dot is an entry level piece of technology that is a more convenient, and frankly a more useful version of Apple's Siri. Alexa doesn't know the answers to everything. It can be frustrating repeating yourself and rephrasing specific questions to try and get an answer. Nevertheless, when paired with a smart thermostat like Nest it can really make your home life more pleasant. After only a week, I bought four more!","December 7, 2016"
"5.0 out of 5 stars","Richard Stone","Read this review, then buy it!","I love this little hockey puck speaker. Personally, I think they should have called it the Amazon Echo Puck. I suppose that might have been too Shakespearian. Anyway, it does everything it promises to do, and much more than I expected.It has no problem understanding me at all, which is more than I can say for telemarketers whom I instruct to never, never, ever call me again. I can call out its name from anywhere in my 5 room home, and it responds immediately. It even hears me when I'm in my bedroom with the speaker speaking loudly away next to my ear.It does so much. Some say another he-who-shall-not-be-named brand does more. I beg to differ with you, Some! Add in some skills and ITTT scripts, and it does everything I want and more. For instance, I use ""My Grocery"" with the corresponding skill, and it works great keeping me supplied with supplies for the above mentioned meager meals.To Echo or to Puck, I mean, Dot? The Echo has a good speaker built in, but the Dot, combined with a speaker, such as the one I purchased from Papa Amazon, Cambridge SoundWorks OontZ Angle 3 Next Generation Ultra Portable Wireless Bluetooth Speaker : Louder Volume 10W+, More Bass, Water Resistant, Perfect Speaker for Golf, Beach, Shower & Home (Black), is cheaper than buying the Echo and will provide good sound and portability. The Puck, aka Dot, is also less visibly intrusive having a much small footprint.The, uh, ok, Dot, will do so much more, including Hal-like control of most everything in my home, though I am not yet using it this way. It would be worth the price for me solely for controlling music and my shopping and ToDo lists. Thanks, Amazon, you done good!","January 9, 2017"
"5.0 out of 5 stars","Pumpkin","I love the concept even though she's hard hearing at times","I love the concept even though she's hard hearing at times. She can't answer a lot of questions but she functions as a calculator, dictionary, timer, alarm clock, music streamer, and her skills are like apps on your phone and she has a few good ones. Overall, worth the price. Thanks Amazon, cool deal!Surprisingly, her speaker is nice and smooth sounding, although there is practically no bass at all. There is clear midrange and highs are present so the music is enjoyable through her. The speaker is on the bottom, interestingly done, but if you sit her on the bed you can't hear her well. =)","March 6, 2017"
"5.0 out of 5 stars","gardener97","OMG - I want one in every room","OMG - I want one in every room. You can think of any song you ever heard, ask Echo (or Alexa, you decide on the name) to play it and there it is - a real trip down memory lane or up to date new. This little Dot speaker is OK. No it is not the Bose Mini, but it is OK. (I actually have the Bose Mini in the bedroom) and if you have a second Dot in the kitchen you can just let the Dot speaker play and it is not bad. I LOVE being able to say ""Echo put appliance bulbs on the shopping list"" and next time I'm at the grocery, there it is on my list. I don't have to think about going to write something down. Questions? Yeah, you say"" Echo how old is Ruth Bader Ginsburg?"" and Echo says ""83, she was born..."" and you can either listen to the rest or say ""Echo stop"".There is a to-do list too. ""Echo, put oil change on the to do list"".  If you need to have more than 2 lists, you can get some 3rd party apps to build more lists.Skills: skills are like apps gone crazy. Like Skill Meow actually meows and drives your cat nuts. Tons of skills.You can build a huge library of playlists and music. You can upload your own music or if you are a prime member, there are about a jillion songs out there just waiting for you. You have to download the Alexa app and the Amazon music app. The music app is a bit squirrelly (to me) and I find building playlists on my computer works better than on the iPhone or the iPad. You need to be in the right place though - this url is gold! that would be music dot amazon dot com - and build away.Echo/Dot will also read your audible books to you, picking up wherever you last left off and you can say 'echo, back up a minute' or whatever too.Also you can just say “Echo, play some Mozart” and she will start right in. Or just say play classical, or smooth jazz or 60s rock. She will pull them off the huge amazon library. Once in a while she won’t have a song you want but I find if I say it again, or say it putting the artists name either in the front or the back of the request, she will find it. Also you can see your queue on the Alexa app so you can skip around.And she can tell you jokes. Not terribly good jokes if you are over 9 but cute.","November 17, 2016"
"1.0 out of 5 stars","TBK","Very disappointed  not good reception.","very disappointed ..not good reception.","April 13, 2017"
"3.0 out of 5 stars","kristi baker","But I hate that I have to add all these apps and ...","It's ok - I thought it was going to be way cooler based on commercials and reviews. But I hate that I have to add all these apps and then remember their names to open them before she will answer questions. I get a lot of ""I do not understand"". Basically I use it to listen to music now. Really thinking of switching to the google one","March 18, 2017"
"5.0 out of 5 stars","David J. McLay","Great addition to Amazon Echo","A fantastic extension of Echo. The device is small and compact and can be placed anywhere. I appreciate the versatility of the device. It controls a lot in my master bedroom. The alarm feature is a excellent and better than anyone from a smartphone. The speakers are very good, clear, without snaps, pops, or buzzes. Highly recommend.","April 12, 2017"
"4.0 out of 5 stars","David Pistey","hard of  hearing","some  times  it  dose  not  hear  you  that  well  . i keep  it  next to  my  bed  as i  main  love it  as  my alarm clock  as well as White noise  as i  work  nights  some times  it  hears  me  and  other  times  it  dose  not .  also  some times  it  stops  connecting to my  network  even  thou  theres  no  reason  for  it  not to .","March 8, 2017"
"5.0 out of 5 stars","mr_et2","Love it","I'm loving Alexa. I have this paired up with my Samsung smart hub and can have it control my home automation devices with my voice. I also use it for playing music and have even done some shopping via Alexa. Pretty useless for web searches but thats fine with me. For the price, it's definitely worth it for the novelty value alone.","March 8, 2017"
"5.0 out of 5 stars","md","Get one for each room.","Have one in each major room.  For the most part they do everything I ask.  Use them for music, my alarm, morning briefing and to turn some Hue lights on and off.  Will expand to more smart home items but kind of waiting to see what else comes out.  First one was a gift and wasn't sure how it would be used but quickly got two more.","April 3, 2017"
"4.0 out of 5 stars","Nadeem","From Kindle to Echo","I really like it - still a lot of room for improvement. Easy setup - a lot of potential - skills store needs to be refined - not many good ideas out there yet. Not a conversational product like Google Home - very much like a Siri AI (If one can call it AI). If Amazon carry on working on this product and invest heavily on the AI portion of the system and aim it around being more than just a purchasing tool - it can become something wonderful!","March 29, 2017"
"5.0 out of 5 stars","Doreen Rich","Alexa is my new best friend!","My grandson said I should get an Echo to have someone to talk to. LOL He was right! I geeked out with Alexa for hours! My son said I sounded like I was straight out of an episode from Big Bang Theory! If you love music and want it now ... ALexa ROCKS IT! This is THE perfect program for anyone shut in or disabled if they have wifi capability. To command so much music and information with your voice.","March 22, 2017"
"5.0 out of 5 stars","Arlene","The Echo Dot Rocks","I have been using Alexa for several months now and am totally in love my Echo Dot.  Everyone has their own uses for Alexa; 2 of my favorites are the shopping list and timers. Even the sound is more than adequate for my needs. I did purchase the Bose Mini Soundlink as a companion for the Dot, I find I don't even use the external speaker unless I'm listening to music.  The dot has a whole lot of capability for a very reasonable price.","April 11, 2017"
"3.0 out of 5 stars","Khadem Imj","Poor quality prroduct","After running for two months, now it has hearing issue. I have to call it at least 3 to 4 times before it actually respond. Plus I think it also has some pairing or connecting issue with smart devices such as TP-Link smart wifi plug. If I ask to turn on something, it doesn't do that these days and I actually have to repeat the command couple of times or sometimes I even have to restart it because it hangs, and after that it works. So ya, I think amazon still have to work a lot with its quality and AI algorithm.","March 31, 2017"
"4.0 out of 5 stars","Mark A. Knowles","This is an excellent addition to my toy collection","This is an excellent addition to my toy collection, pretty much replacing my Chumba that has served me well over the years.  I just received it yesterday, and because the setup was difficult, that would be my first criticism and the explanation for 4 instead of the perfect score.  It took me a couple of hours + an actual chat with a very helpful customer service representative at 8:30 on a weekend morning – a chat that got me setup in a very short period of time (fyi, the problem was that my factory reset was incomplete last night – I had not pressed for a full 20 seconds on the two reset keys, and that has to happen to let the blue light go out).  But now that the Echo Dot is connected and registered, I'm just scratching the surface of all the power of this cute little device.  It comes with this very tempting offer for Amazon Music Unlimited for $3.99 per month – there's a free 30 day trial period that I've signed up for and am spinning up some pretty decent music with simple voice commands as I write this. My guess is that the Dot's other outstanding feature of commanding lights and other appliances connected to a smart network will be my undoing – the last remnants of my innocence and pride of being a hold-out against a Dick Tracy/Flash Gordon/James Bond world are precipitously being swept away.","March 5, 2017"
"4.0 out of 5 stars","Hugh W. Cox Jr.","Ready for the Rookie league, but not the Majors","I have about 5 of these spread around the house.  Each of my bedrooms has one, my office, den and media room.  On rare occasions more than one will hear me, usually one will complain they can't understand me, and the other one will do what I want.  This is probably because the ones in my bedrooms are on Amazon accounts that belong to the person that resides in that room.  Each device is capable of turning on and off the lights in the house which is cool.Now the down sides.1. Apps are great for weather, flash briefing, but nothing of much more substance out there yet, but new skills are coming out regularly so hopefully the killer app for Alexa will be here soon.2. In the smart home area, you can turn things on or off, once she understands you, but you can't ask what the current status is.  So for example, I can tell Alexa to turn on the garage light, but I can't ask her if the garage light is on right now.3. Alexa needs to be able to read me texts, or other messages that are sent to me.  She needs to tell me, that she has a message for me and ask if I would like her to read it.  As with the other skills, this is a skill you would have to install and you would have to tell her that Yes you want her to read your email so this should creep people out too much.4. along the same lines Alexa needs an intercom skill5. Alexa's super microphones aren't all that great in a party situation, or even when watching a football game.  She just can't block out the competing noise I guess.6. A presence detector with the ability to know who is in a room would be wonderful too.  This could be done with a bluetooth tracker, or based on the smart phones near by.","January 9, 2017"
"4.0 out of 5 stars","M. Caroe","Great device for a smart home","I bought 2 of these on Amazon Prime Now, one for my room and one for the kitchen/living room and have physically  hooked them up to speakers I had, but wasn't using very often.  I hooked them up through the line out because the Bluetooth would cut out when they were hooked up that way. (The speakers are an HK Aura studio and a Bose color soundlink, both of which work with other bluetooth devices).  I took off one star for the Bluetooth problems because it may be a major drawback for some people.  Overall it has been great for me because it makes utilizing these speakers much easier.It is great for music and my daughter loves being able to get Alexa to play a variety of music with a voice command.  I use it for music as well, but I like the alarm, timer and shopping list features.  It is very handy to be cooking in the kitchen and tell Alexa to add an item to your list when you are in the middle of something. You can then view the list in the Alexa app while you are at the store and when you check the box, the Alexa app removes the item from the list.I use the weather and news features a lot.My house came with ecobee thermostats  (older version) but I am still able to control them with the Alexa ecobee skill.I have replaced my lamp bulbs and porch light with LifX color bulbs and am able to turn on and dim my lights with Alexa using the corresponding skill.  I can also choosee certain colors with Alexa.  (You can control a lot more colors and special effects with the LifeX app and LifeX bulbs don't require a separate hub ).This device is very functional for me and using it has already become part of my everyday  routine.  This isn't just a novelty device that will go in a drawer in a year.","January 1, 2017"
"5.0 out of 5 stars","Joseph M.","Love the DOT, Love the Echo, my home is full of them, and also appliances that are controlled by both the Echo and Dot.","I own three of these and two Echo's. They all work in unison, but not totally. What this means is that I can give instructions to my Emerson Sensi thermostat from any of them, but when I ask for music, or other information, it only comes from the one that hears me.  I don't understand the people who  have trouble with an Echo or Dot, but then if I consider that some of them could be my 92 year old father, or someone who simply does not understand technology, it makes it easier to understand. The newer DOT is different from the original DOT, but no in any way that you should care. I have both. The original has the top that turns for the volume, just like the original Echo. I'm not sure if the Echo was changes as well, but the newer design has two push buttons that are recessed in the top, for volume up and volume down. The other buttons are to mute the microphone, and the other is context sensitive, this means that it does different things in different situations. If Music is playing, it can Pause the playback, and resume when pushed again. You can also do the same by talking to your Echo. Another use of that same button is for when you are configuring it for the first time. Load the Alexa app on a tablet, or computer to take care of your house full of Amazon Echo's and Amazon Dots. The Alexa app also manages my connected appliances, such as the Emerson Sensi thermostat, and the other devices that control certain lights, and other things that can be turned on and off via the power plugAs far as how the new DOT looks, it is a tiny bit shorter, but I had to measure them to see it, it is really close. The top ring that lights when Alexa is activated and waiting for you to talk, is the same. Also, the price has been as low as $39 here on Amazon, and in stores like Lowes and Home Depot, but that price fluctuates according to what Amazon wants, there is not ryme of reason to what they will do, and when they will do it.","December 7, 2016"
"4.0 out of 5 stars","Cheyenne Boneman","Voice remote faulty after software update.","We've had the original Echo and the 1st Generation Dot and voice remotes for both. I recently ordered a six pack of the new 2nd generation dots. I hooked up one of the new ones. It works perfectly fine except for the voice remote. So I tried a second dot. Same result. The problem occurred on both new ones AFTER they downloaded and applied a new software/firmware update. (And I confirmed this with two different bluetooth speakers and two different Echo Voice Remotes on two different new 2nd generation echo dots.) What happens is when you (after the software update) press the voice command button on the remote, it may not respond at all on the first try after it has been idle for several hours. The second attempt it works ok. BUT if I give it another command thru the remote while it is playing a radio station or song, when I press and hold the voice command button it doesn't give us the feedback tones and it plays back broken bits of what's playing on the speaker while I'm trying to give it a command. It then may or may not perform the requested command. This does not occur if giving the dot voice commands directly to it and not via a voice remote. My technical background with computers and electronic devices tells me, thru all of my testing and resetting and plugging and unplugging, that this is a software issue that came thru with the update the dots have received shortly after they are activated for the first time. I have contacted Amazon Dot support via phone. My call was escalated to a higher tier tech support who agreed that this sounds like an issue that needs to be addressed with the Alexa software engineers. So he created a support ticket and suggested that I also write a review on the Alexa app. I give the first generation dots with 5 stars because they've been flawless. I give the second generation dots four stars because of this issue with the voice remote. As soon as this gets corrected, I'll gladly change my review to 5 stars.","November 22, 2016"
"2.0 out of 5 stars","Boris","Surprisingly underwhelming.","I've received this device as a corporate gift, and glad i didn't pay any money for it. While its ability to recognize my voice is quite outstanding (despite my heavy accent) and it can hear me from pretty much anywhere in the room, thats where the good things end. ""Alexa, what are the nearest McDonalds hours?"" No info (which  Google map has). ""Alexa, play Eco 99fm on tunein"" - no way in the world i was able to make it recognize the station name (eco, not echo, not equal, etc), while there is no way to activate favorites by voice. It can play a tunein station, it can set an alarm, but it can't set a radio alarm, or even set a user provided alarm sound. Speaking about alarms, it has no internal backup battery, not even a small one. It will keep the alarms, but if the power is out during the alarm time you are probably out of luck. It supports custom plugins (called ""skills"") i have yet to try coding one, but ones already there are all activated using an awkward ""Alexa, ask <plugin name> to <plugin command> or by ""Alexa, open <plugin name>"", which then drives the dialog on its own. So, for example, to activate the nighlight plugin, you have to say ""Alexa, ask nighlight to turn on"", which is awkward and unnatural. This is a bad example, and a nightlight plugin is merely a hack, but it seems to apply to all ""skills"", of which none seems to be very useful to me. I have yet tl try the smart home stuff, but apparently, very few devices currently work with Alexa. BTW, try explicitly asking it to search on Google (Alexa, search Google...) and it will tell you it doesn't do that, promising you to search the answers on... Bing!PS: Nice little toy, extremely underwhelming firmware.","December 6, 2016"
"5.0 out of 5 stars","Mary Moore","and I get my favorite radio station from where I used to live to ...","I'm using one in my bedroom to replace a bedside clock radio.  I recently moved and my reception on the clock radio was scratchy.  Additionally, the clock had some sort of GPS in it and was always 16 minutes off.  Now, no blaring clock face, and I get my favorite radio station from where I used to live to fall asleep by, and no crackling because it is through the internet.  I can also tell Alexa how long to go before shutting down, as long as I want, and certainly longer than the 90 minute snooze cycle on the old radio.There are lots of things she can do that I am sure to discover.  I bought one, and then a 6 pack to give as gifts to my gadget oriented siblings.  I will be using the extras around the house.  LOVE IT!","January 5, 2017"
"3.0 out of 5 stars","Middlebunny","Pick one Echo product instead of purchasing all 3","I've been an avid Amazon customer since they started.  I have 2 kindles and was relatively satisfied.  I read all the rave reviews for the Echo, Echo Dot and Tap.  They seemed legitimate; however, I guess those reviewers either had low expectations or were incentivized to express those favorable opinions.  After going on an Echo Dot, Tap and Echo purchasing frenzy, I now have a total of 3 Dots,1 Tap and 1 Echo and am suffering buyers remorse.If you need or want to know the local weather or get  flash news updates on command, the Echo or Echo Dot are your devices.  I, on the other hand, use them for music streaming.  I find that the ""sleep function"" has flaws, voice recognition/comprehension needs great improvement and everyone should know that it is really unnecessary to buy more of these devices unless you have multiple amazon music accounts such that you can stream on those separate accounts from different locations/rooms.  Otherwise, users should know that the devices cannot be linked together for simultaneous streaming.  They also cannot be used by different parties to stream different music from each different device.  Apparently, Amazon Prime Music only allows streaming to one device at a time.The Tap cannot be used for streaming unless a wireless connection is available.  I wouldn't recommend connecting via an unsecured connection so unless you have a secure, mobile wireless connection, the Echo Tap is nothing more than an expensive, portable bluetooth speaker which you can purchase for much less than the cost of an Echo Tap.One might notice that the Echo, Echo Dot and Tap are often paired with supplemental bluetooth speakers with 2-3 item purchase combination discounts.  This is a very misleading promotion as it leads one to believe they can be used for simultaneous streaming.  That is not the case at all.  Unfortunately, the E-Dot only has a one-way BT connection.  Either you play music from the E-Dot or the BT speaker; but, you cannot play music from both.There are a lot of Applications for Alexa, the voice operated system used to operate the E-Dot and Echo.  Unfortunately, a lot of them have complicated wake phrases/statements.  If you don't phrase the statement exactly right, the app won't work and Alexa will not understand the command.  You can honestly spend more time trying to phrase things correctly to trigger Alexa then it might have taken for you to manually execute what you wanted to do like creating a shopping list, or recording water consumption.Another shortcoming with Alexa is the slow re-fresh rate of the application.  Sometimes, you have to completely exit out of it, stop it from running in the background on your phone and then reload it in order to get it to reflect your most recent commands or current ""now playing"".  In addition, there are other limitations specific to music streaming.  Let's say you want to stream a specific artist all day long to soothe a pet with separation anxiety.  If 1) you set the sleep timer for longer than you'll be away (ex. for 12 hours) and 2) Alexa confirms she will stop playing in 12 hours, that isn't exactly true.  Alexa will actually stop playing when she reaches the end of the artist's play queue which may only be 4 hours of music.  Theoretically, you can manually or verbally set Alexa to repeat the queue; however, I haven't tested this successfully yet.  It may only repeat the queue once rather than indefinitely until stopped by the sleep timer.My final Alexa app gripe relates to the repeat function.  Unlike the iTunes or Amazon Music apps, Alexa cannot repeat one song in a queue.  You'd think that toggling the repeat button 2 times would trigger this function; however, all it seems to do is toggle the repeat option to the ""off"" position.All in all, individually each product has its benefits so my rating is a low 3.  There is just no reason, other than needing a device in a location outside of the primary product's voice range, to purchase more than one device.  My thought is that the Echo-Dot is the most versatile of all 3 products; however, the Echo has better sound quality.  I have noticed the improved sound quality on the Echo; but, the improvement really doesn't make up for the price difference.  If I could do it all again, I'd invest in the Echo Dot for home and an inexpensive Bluetooth speaker for work that I can connect to the iTunes or Pandora applications on my phone.  That way, I will still be able to stream Amazon Prime music through the Dot at home for the stressed pet while playing comforting music in my office.","December 22, 2016"
"4.0 out of 5 stars","Tsunemi K.","get an uber ride, find the weather","Extremely helpful device! You can stream music, get an uber ride, find the weather, find traffic and so much more. It may be a small little thing but (primary source quote) good things come in small packages, First let me start off with the speaker. The sound is very clear and crisp, which surprised me due to it's size and it streams so many music stations (IHeart Radio, Amazon Music Etc.) However i don't like how it doesn't stream itunes, i wish it could do that. However you can connect your phone via Bluetooth and play whatever you want. Second, The setup process and the Alexa app. The setup is easy using the Alexa app and it doesn't take long, only a few minutes. The app however, is not my favorite. Sometimes the app goes offline, for no reason even if you have a good wifi connection. The app frequently crashes, and i don't feel that there is not enough support in the app. However, you need the app to use the echo dot. Third, the skills. This device, has more skills than i have ever thought possible in such a small device. You can ask to play jokes, order pizza and much more. Another thing I like about the skills is the variety they have. Amazon put a huge variety of skills (and is still adding them) on to the echo dot so you can enjoy more. One of its skills in particular is the ability to control certain types of light bulbs and plugs. For this skill, you can ask alexa ""hey alexa, turn on the light"" and the light will be on. This is the end of my review i hope it helped. Amazon unveiled the future of smart home products with this device and if you are reluctant to get it because you are an apple fan, you are missing out.","January 12, 2017"
"5.0 out of 5 stars","Ricardo X. Mendoza","Best interface for home automation","I Buy the amazon dot to make a control interface for Z-wave and wifi devices in conjunction with a Samsung HUB.NOTE: I install this little guy outside from US.So far this is my opinion:Pros:- Very easy to configure (incase you are in the US) and many skills (apps) to choose for free.- Constantly updated with new apps.- has a very good range to listen to your voice and understands very well what you say (adult voices or children).- Being able to connect it to a bluetooth speaker or aux input allows you to use some equipment that you had in disuse (in my case BOSE Sounddock).- He works very well with the Samsung smarthings hub.- If you have spotyfi or the music service of amazon hired, you will have the best DJ in your house. If you do not have these services, your Dot can function as a radio station by mentioning the name of the station or its exact frequency.NOTE: You can add 250 songs directly to your amazon account for alexa to play.Cons:-  Many skills only work within US. Some others work by mentioning the city in which you are.- It only supports English or German language.- obey any voice that says wakeup word. This is a problem when you integrate a follow-up system for your home. If your dot is near the entrance and your door lets the sound pass, it is very possible that someone outside your house will operate your system.- It must always be connected to the WIFI; If your router dies, say goodbye alexa.- When playing music, dot have trouble listening to new commands. This is aggravated if the horn is too close to the dot.","January 13, 2017"
"5.0 out of 5 stars","scout1968","Love my Dot!!!!","I absolutely love the Echo Dot! It's been great having the Echo and watching the system grow quickly in skills. We now have the Dot in another room and have been having a ball listening to music (Amazon Unlimited). The quality of responses from 'Alexa' are very clear and the Dot is able to pick up several voices without a problem. This is simply such fun technology. I would highly recommend the Dot, not only for all kinds of useful tasks, but for the high level of entertainment value. I plan to get at least one more. You will have a great time with this little marvel of technology.Oh...it is also very easy to set up and takes very little time to do so. You absolutely do not need to be technologically adept to get Alexa up and running.","December 2, 2016"
